AngleToTrackAxis;CurrentLapTime;Damage;DistanceFromStartLine;DistanceRaced;Speed;ZSpeed;Z;TrackEdgeSensors0;TrackEdgeSensor-90;TrackEdgeSensor+90;TarckEdgeSensor-50;TrackEdgeSensor+30;TrackPosition;action
0.0089286;-0.222;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.202;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.182;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.162;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.142;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.122;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.102;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.082;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.062;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.042;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.0089286;-0.022;0.0;5759.1;0.0;3.04208E-4;-1.9532E-4;0.345256;200.0;7.33374;3.66663;14.7754;13.9628;-0.333363;0
0.00945455;0.018;0.0;5759.1;0.0;-1.39647E-5;-2.07801E-4;0.345256;200.0;7.33386;3.66663;14.7886;13.935;-0.333363;0
0.00969869;0.038;0.0;5759.1;0.0;0.019731;-1.66313E-4;0.345255;200.0;7.33386;3.66663;14.7949;13.9226;-0.333363;0
0.00981886;0.058;0.0;5759.1;0.0;0.0215548;-7.66592E-5;0.345255;200.0;7.33386;3.66675;14.7982;13.9156;-0.333363;0
0.00990612;0.078;0.0;5759.1;0.0;0.0227133;-5.35986E-6;0.345255;200.0;7.33386;3.66675;14.8001;13.9113;-0.333363;0
0.0099867;0.098;0.0;5759.1;0.0;0.0240383;4.73291E-5;0.345255;200.0;7.33386;3.66675;14.8024;13.9072;-0.333363;0
0.0100611;0.118;0.0;5759.1;0.0;0.0249468;8.40388E-5;0.345255;200.0;7.33386;3.66675;14.8041;13.9038;-0.333363;0
0.010136;0.138;0.0;5759.1;0.0;0.0258848;9.39128E-5;0.345255;200.0;7.33386;3.66675;14.8063;13.8994;-0.333363;0
0.0102065;0.158;0.0;5759.1;0.0;0.0266694;1.09081E-4;0.345255;200.0;7.33386;3.66675;14.808;13.8955;-0.333363;0
0.0102785;0.178;0.0;5759.1;0.0;0.0274865;1.04336E-4;0.345255;200.0;7.33386;3.66663;14.81;13.8927;-0.333363;0
0.0103262;0.198;0.0;5759.1;4.88281E-4;0.392776;8.20266E-4;0.345257;200.0;7.33386;3.66675;14.8112;13.8897;-0.333363;0
0.0104583;0.218;0.0;5759.1;0.00439453;0.784217;0.00233842;0.345264;200.0;7.33398;3.66663;14.8147;13.8828;-0.333385;0
0.0103357;0.238;0.0;5759.11;0.00878906;1.02948;0.00404547;0.345281;200.0;7.33411;3.66638;14.8118;13.8879;-0.333407;0
0.0103191;0.26;0.0;5759.12;0.0170898;1.40121;0.00546411;0.345308;200.0;7.33447;3.66614;14.8119;13.8872;-0.333474;0
0.0101975;0.28;0.0;5759.13;0.0263672;1.82599;0.00593831;0.345337;200.0;7.33472;3.66577;14.8094;13.8933;-0.333518;0
0.0103543;0.3;0.0;5759.14;0.0371094;2.1199;0.00578647;0.345367;200.0;7.33508;3.66553;14.8139;13.8834;-0.333585;0
0.010268;0.32;0.0;5759.15;0.0498047;2.47707;0.00505381;0.345392;200.0;7.33557;3.66504;14.8128;13.8862;-0.333674;0
0.0103253;0.34;0.0;5759.16;0.0649414;2.83363;0.00394987;0.345412;200.0;7.33606;3.66455;14.8152;13.8819;-0.333762;0
0.0102518;0.36;0.0;5759.18;0.0820313;3.18539;0.002702;0.345424;200.0;7.33655;3.66406;14.8142;13.8834;-0.333851;0
0.0103009;0.38;0.0;5759.2;0.100586;3.53271;0.00145313;0.345428;200.0;7.33716;3.66333;14.8166;13.8795;-0.333962;0
0.0102261;0.4;0.0;5759.22;0.121094;3.87734;5.49844E-4;0.345426;200.0;7.33789;3.6626;14.8158;13.8803;-0.334095;0
0.0102742;0.42;0.0;5759.24;0.144043;4.2212;8.26061E-5;0.345419;200.0;7.33875;3.66187;14.8187;13.8751;-0.334251;0
0.010197;0.44;0.0;5759.27;0.168457;4.56509;-9.77778E-5;0.345411;200.0;7.33948;3.66101;14.8182;13.8762;-0.334384;0
0.0102418;0.46;0.0;5759.29;0.194824;4.90914;-4.2043E-5;0.345402;200.0;7.3396;3.66101;14.8193;13.8734;-0.334406;0
0.0101622;0.48;0.0;5759.32;0.223633;5.25321;2.60247E-4;0.345392;200.0;7.33923;3.66125;14.8162;13.8799;-0.334339;0
0.0101612;0.502;0.0;5759.36;0.257324;5.63178;6.81063E-4;0.345383;200.0;7.33899;3.66162;14.816;13.8807;-0.334295;0
0.0101617;0.522;0.0;5759.39;0.289063;5.97594;0.0010381;0.345377;200.0;7.33887;3.66174;14.8152;13.8824;-0.334273;0
0.0101193;0.542;0.0;5759.42;0.32373;6.32015;0.00140794;0.345372;200.0;7.33887;3.66162;14.8143;13.8845;-0.334273;0
0.0101174;0.562;0.0;5759.46;0.359863;6.66443;0.00170664;0.345369;200.0;7.33875;3.66174;14.8137;13.8854;-0.334251;0
0.010073;0.582;0.0;5759.5;0.398438;7.00876;0.00200096;0.345366;200.0;7.33899;3.66162;14.8127;13.8872;-0.334273;0
0.0100678;0.602;0.0;5759.54;0.437988;7.35312;0.00219117;0.345364;200.0;7.33899;3.6615;14.8127;13.8882;-0.334295;0
0.010022;0.622;0.0;5759.58;0.480469;7.69847;0.00238038;0.345362;200.0;7.33923;3.66125;14.8117;13.8893;-0.334339;0
0.0100134;0.642;0.0;5759.62;0.523438;8.04934;0.00244525;0.345361;200.0;7.33936;3.66113;14.8113;13.8904;-0.334362;0
0.0099662;0.662;0.0;5759.67;0.569824;8.40596;0.0025545;0.345359;200.0;7.3396;3.66089;14.8104;13.8918;-0.334406;0
0.0099538;0.682;0.0;5759.72;0.617676;8.76625;0.00272976;0.345357;200.0;7.34009;3.66052;14.8107;13.8915;-0.334495;0
0.00990612;0.702;0.0;5759.77;0.666992;9.12928;0.00282907;0.345356;200.0;7.34045;3.66016;14.81;13.8933;-0.334561;0
0.00988847;0.722;0.0;5759.82;0.719238;9.49514;0.00291575;0.345354;200.0;7.34094;3.65955;14.8101;13.8926;-0.33465;0
0.00984937;0.742;0.0;5759.87;0.773438;9.8632;0.00303099;0.345352;200.0;7.34155;3.65906;14.8098;13.8935;-0.334761;0
0.00980503;0.762;0.0;5759.93;0.828613;10.2315;0.00320816;0.34535;200.0;7.34216;3.65833;14.8095;13.8938;-0.334872;0
0.00973636;0.782;0.0;5759.99;0.887207;10.6046;0.0032519;0.345348;200.0;7.34277;3.65771;14.8093;13.8954;-0.335005;0
0.00974399;0.802;0.0;5760.05;0.947266;10.9748;0.00328629;0.345347;200.0;7.34375;3.65698;14.8104;13.892;-0.335138;0
0.00971729;0.822;0.0;5760.11;1.00928;11.3698;0.00332454;0.345344;200.0;7.34448;3.65613;14.8112;13.8912;-0.335294;0
0.00968439;0.842;0.0;5760.17;1.07373;11.7799;0.00341865;0.345341;200.0;7.34534;3.65515;14.8118;13.8903;-0.335449;0
0.00960905;0.862;0.0;5760.24;1.14063;12.1494;0.00355903;0.345336;200.0;7.34644;3.6543;14.8113;13.8916;-0.335627;0
0.00957138;0.882;0.0;5760.31;1.20898;12.518;0.00367978;0.345333;200.0;7.34753;3.65308;14.8122;13.8897;-0.335827;0
0.00951416;0.902;0.0;5760.38;1.28027;12.8845;0.00373279;0.34533;200.0;7.34851;3.6521;14.8123;13.8894;-0.336026;0
0.00950748;0.922;0.0;5760.45;1.35303;13.2924;0.00379585;0.345326;200.0;7.34949;3.65088;14.8141;13.8863;-0.336226;0
